Model;Scenario;Region;Variable;Unit;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
IMAGE 3.3;REF;STAN;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.71111168;1.1182785000000002;1.2609759;1.6795173;1.2587281000000001;0.74406656;0.88734246;0.84283578;1.1294556;1.5000773;1.680914;1.6158198000000001;1.5453871000000001;1.4179398;1.28877;1.1527450000000001;1.031498;1.0494329;1.0661997;1.0827901;1.1041341;1.1228032000000001;1.1380465;1.1580056;1.1771903000000001;1.1915639;1.2048942
IMAGE 3.3;REF;BRA;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.65706515;0.67007053;1.2405821000000001;1.1671302000000001;1.0200702000000001;1.2741793000000001;1.4207628;1.5212937000000002;1.3242231;0.03363824;0.48786592;2.0479608000000002;2.005977;2.3590531;3.2212815000000004;3.9891123000000004;4.5925197;4.503104;4.5557683;4.6187279000000006;4.6998851;4.7509658;4.794558;4.790329900000001;4.7844541000000005;4.7945093000000005;4.824542200000001
IMAGE 3.3;REF;CAN;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.041837488000000006;0.26404253;0.5205342700000001;0.74063206;0.6808167;0.99919155;1.0837595;1.2116372;1.3123722;1.5898541000000002;1.9376456000000002;2.1211171;2.3221507000000003;2.5642317;2.827808;3.0830006;3.358442;3.4676137000000002;3.5753605000000004;3.6987745000000003;3.8246497;3.9425265;4.056972;4.1641923;4.2697088;4.3959992;4.523422200000001
IMAGE 3.3;REF;RCAM;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.68712742;0.58911258;0.7293472000000001;0.78380998;0.79674752;0.7406521;0.8150609900000001;0.6831577000000001;0.74011347;0.8232628500000001;0.95517043;1.1048521;1.1481413;1.1003356;1.0578705000000002;1.0125046;0.9414551000000001;0.9506801300000001;0.97744717;1.004833;1.0348975;1.0609903;1.0835016000000002;1.0964413000000002;1.1111647;1.12134;1.1328876
IMAGE 3.3;REF;CHN;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;2.7947023;3.8940626000000003;10.512891000000002;11.955996;18.129910000000002;23.681714000000003;22.36749;27.404616;29.249380000000002;29.177614000000002;18.872142;20.683229;22.769940000000002;24.211218000000002;25.502448;26.704978;28.068622;27.926028000000002;27.745534000000003;27.474158000000003;27.229264;26.866465;26.494145000000003;25.976777000000002;25.462004;24.896381;24.333414
IMAGE 3.3;REF;EAF;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.55333581;0.63579642;0.7090624600000001;0.7597322200000001;0.7849966100000001;0.7793573800000001;0.99471456;0.9278952300000001;2.2598592;2.4094100000000003;3.2860769000000003;4.0599229;4.7856768;5.559535100000001;6.4064036;7.3711652;8.1828813;8.6470205;9.076448300000001;9.5140844;9.975522300000002;10.166640000000001;10.351230000000001;10.456629000000001;10.622440000000001;10.752933;10.923215
IMAGE 3.3;REF;CEU;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;2.9257513000000004;3.9925824000000003;4.2799997;4.4101903;3.2637204000000004;1.7096668000000002;1.8762944000000001;2.0170708;1.9280915;1.7660919000000002;1.6774181000000001;1.6913357;1.716804;1.7208765000000001;1.7259835000000001;1.7189989;1.7113638000000002;1.7308449000000001;1.7498938000000002;1.7629967000000002;1.7770621000000002;1.7821244;1.7872087;1.7849750000000002;1.7827579;1.7770118000000001;1.7711487000000001
IMAGE 3.3;REF;WEU;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;5.8660890000000006;6.6848824;7.647141400000001;7.308308;6.7462211000000005;5.5908936;4.9363507;4.4377226;3.6232182;3.9240980000000003;3.8036621000000004;3.6639508000000003;3.5309601;3.4041050000000004;3.2390275;3.0814013;2.9529912;3.014174;3.0744584;3.122942;3.1723592000000003;3.2096632;3.2467028;3.2687222;3.2906601;3.3064973;3.3227610000000003
IMAGE 3.3;REF;INDIA;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;4.1410995;5.1568005;6.1794796000000005;8.260033;9.945804800000001;11.848567000000001;12.917314000000001;14.583100000000002;17.783441;18.427918000000002;21.472571000000002;23.508767000000002;25.679768000000003;26.903783;28.111036000000002;29.001099000000004;29.884373000000004;30.210970000000003;30.512271000000002;30.668358;30.842745;30.950826000000003;31.048921000000004;31.052603;31.055210000000002;31.024728000000003;31.009434000000002
IMAGE 3.3;REF;INDO;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.25245901000000004;0.31686544;0.76892006;1.2209571000000001;1.5125078;1.6630961000000002;1.5643351;1.5980234000000002;1.0027496;0.27070720000000004;1.0564919000000002;1.5215976;2.0950117;2.7281789;3.4808998000000004;4.3386148;5.3583258;5.5342684;5.706784300000001;5.8452342;5.984650200000001;6.0939853;6.2007081;6.2546125;6.307777000000001;6.338375200000001;6.3712625
IMAGE 3.3;REF;JAP;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.7260937000000001;0.8063808;0.8624012200000001;0.96711718;0.9255657;0.8490767400000001;0.7725177000000001;0.7469888;0.63905939;0.57516979;0.5746694400000001;0.57869914;0.5823112300000001;0.58040134;0.57836915;0.5722257900000001;0.56600531;0.5521199400000001;0.5373468800000001;0.51528045;0.49407584000000004;0.47228646;0.45019706000000004;0.42984822;0.40967949000000004;0.39177478000000004;0.37400749
IMAGE 3.3;REF;KOR;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.50112157;0.6645022100000001;0.92695117;0.92904218;1.030583;0.62209062;0.6440439;0.5892535;0.43696;0.37692582;0.33462342;0.34161555000000005;0.34823488;0.35189245;0.35554234;0.35653088;0.3574897;0.35870918;0.35937306;0.35831635;0.35774381;0.35607446000000004;0.35414371;0.35038640000000004;0.34665024;0.34111949;0.33562339
IMAGE 3.3;REF;MEX;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.44143024000000003;0.76548346;1.0005162;1.1886227;1.2345866;0.99961734;1.4531777000000001;1.3041878;1.1607553000000002;1.1474542;1.4938152;1.4306269;1.3677958000000001;1.3069714000000001;1.2840353;1.2537850000000001;1.1996317;1.2146423000000002;1.2400764;1.2710888;1.3044177000000001;1.3302506;1.348719;1.3593801;1.3734570000000001;1.3829615000000002;1.3939706
IMAGE 3.3;REF;ME;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.61780608;0.80486022;1.0735182;1.5449856000000002;1.7214218000000001;1.8069413;2.238367;2.3124539;2.0837215000000002;1.5551277000000001;1.9684575000000002;2.1936753;2.4313572000000003;2.6482813000000003;2.8617487;3.0774963000000004;3.2876892000000004;3.4092393000000003;3.5244539;3.570634;3.631234;3.6607191;3.690303;3.7157358;3.7377766;3.7309842000000004;3.7520054000000003
IMAGE 3.3;REF;NAF;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.7433436800000001;0.9087737;1.1476193000000001;1.3004737000000002;1.3885253000000002;1.4813411;1.6906437;1.8629806000000002;1.7114342;1.7707233;1.8841825;2.0185452;2.1489188;2.2090796;2.2649469;2.3235072000000003;2.3747497;2.4710003;2.562389;2.6930726000000003;2.8247575;2.9148006;3.0014717;3.0744924;3.1464387;3.2347814;3.3217981
IMAGE 3.3;REF;OCE;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.20503771;0.22300915000000002;0.22721019;0.2106876;0.36885722000000004;0.5365643800000001;0.5884794200000001;0.8238314200000001;0.73826618;1.0226079000000001;1.3636890000000002;1.2509578000000001;1.1502435;1.0370792;1.0415692;1.0151686;0.9301124500000001;0.9279341400000001;0.9190697000000001;0.9276487000000001;0.9397082900000001;0.9380441;0.93380909;0.93292019;0.9318421800000001;0.9292987500000001;0.9295004800000001
IMAGE 3.3;REF;RUS;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;3.9596196000000004;5.0881587;5.59027;6.8273229;5.5090186;1.5058653000000002;1.3792986;1.0895551;1.2454409000000002;0.9743363800000001;1.3184411;1.4751315;1.6416384000000002;1.7986481;1.9639790000000001;2.1252966;2.2948372000000004;2.3803858;2.4654792000000003;2.5407099;2.609804;2.6828314;2.7598740000000004;2.8085970000000002;2.8583931000000002;2.9118116;2.9631204
IMAGE 3.3;REF;RSAF;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.26001102000000004;0.30760522;0.4079128;0.37913658;0.44710221000000006;0.48516966;0.38304381000000004;0.41588013;0.57627002;0.67629037;0.9924493400000001;1.0310276;1.0453622;1.0475830000000002;1.0440663000000001;1.0685094000000002;1.0776724;1.1671918000000001;1.2532164000000001;1.318548;1.3767345000000002;1.4201308000000001;1.4536023;1.4807726;1.5082767000000001;1.5274117;1.5420865000000001
IMAGE 3.3;REF;RSAS;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;1.3322767;1.6576232000000002;2.2794808;2.6285404000000003;3.2539402;4.1824778;4.532282400000001;5.0395274;5.781683200000001;6.276624900000001;7.1393439;7.937097700000001;8.7128975;9.310861300000001;9.914007600000001;10.328033000000001;10.654249;10.883142000000001;11.114089;11.287213000000001;11.469144;11.613585;11.759912;11.874108000000001;11.995646;12.051417;12.115215000000001
IMAGE 3.3;REF;SAF;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.23486534;0.31352858;0.46202067;0.42081846;0.42460032000000003;0.44458326000000004;0.46551946000000005;0.40393520000000005;0.41692477;0.36503251000000003;0.54676256;0.54531584;0.5515143;0.55673766;0.55965715;0.5580183000000001;0.55117267;0.58837216;0.6248304600000001;0.6573233900000001;0.69182323;0.71636403;0.73922221;0.76542394;0.79075552;0.8126273300000001;0.8354046700000001
IMAGE 3.3;REF;SEAS;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;1.0134493;1.0270547;1.0107924000000001;1.407937;1.9351688;2.3408855;2.8222431;2.4775634;2.8142280000000004;2.8198098000000003;2.7932383;2.9977871;3.3049216;3.5591178;3.7935288000000003;4.006224400000001;4.2358257;4.3330883;4.4244705;4.4955162;4.574051300000001;4.645696;4.7118648;4.7532641;4.7943803;4.8236447;4.861097
IMAGE 3.3;REF;RSAM;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.6328439;0.69019379;0.87612851;0.43396474;0.99231002;1.2713298000000002;1.3196114;1.4454186;1.8522724000000002;1.1627199000000001;1.4592690000000001;1.8132298;2.2027067000000002;2.6420275;3.1318277;3.6638464;4.2609372;4.4410327;4.6106066000000006;4.7465846;4.8755246;4.965010400000001;5.0649764;5.1757358;5.303674900000001;5.389374500000001;5.465388
IMAGE 3.3;REF;TUR;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.49200800000000006;0.6980983700000001;1.0664597;0.9863532800000001;1.1680019000000001;1.0363988000000002;1.2984902;1.0790158;1.0991649000000001;1.1743191000000002;1.72402;1.7218202;1.7237646000000002;1.7001454;1.6624893;1.6154851000000001;1.5726779000000002;1.6301565;1.6857082;1.735791;1.7899208000000002;1.8501097000000002;1.9071076;1.9533816000000002;2.0005988;2.0441071;2.0875043
IMAGE 3.3;REF;UKR;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;2.5103191000000002;3.1998095;3.5158932000000003;4.2280791;3.4102397000000004;0.9716062700000001;0.61167834;0.54956147;0.66395629;0.43523917;0.98062886;1.0230066;1.0649303;1.1138789;1.1625267000000001;1.2116099;1.2598477000000001;1.3182277;1.3764494;1.4393619000000002;1.5026026000000001;1.5497024000000001;1.5965504000000001;1.6283914000000002;1.6599916000000001;1.6848417;1.7095841
IMAGE 3.3;REF;USA;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;8.0996634;9.1269489;9.8902047;8.4886963;9.0806845;10.322806;9.4164326;8.6195128;8.6326344;7.4043459;8.259491800000001;8.4844544;8.6272369;8.7201608;8.8052326;8.754098200000001;8.7098419;8.8732252;8.894449700000001;8.8994345;9.074561000000001;9.165438;9.146190800000001;9.0336881;8.9181716;8.730574800000001;8.5561615
IMAGE 3.3;REF;WAF;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.62324288;0.6619063700000001;0.8947193000000001;0.8602732200000001;0.9413045800000001;0.9977762600000001;1.1596735;1.3772870000000002;1.5287233;1.7696180000000001;2.3937953000000003;2.9689462;3.4541745;3.8703227000000004;4.2302049;4.471405600000001;4.6543073;4.9267205;5.1943107;5.451840000000001;5.7092244;5.956557800000001;6.205574100000001;6.3815926;6.550681600000001;6.661341200000001;6.7582152
IMAGE 3.3;REF;World;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;41.023705;50.266427;65.081029;71.088357;77.97144;78.885929;79.63892100000001;85.36431;91.734401;89.429017;90.456834;99.830489;107.95784;114.42246;121.51528;127.85485000000001;134.06953000000001;136.50932;138.82648;140.70127000000002;142.87050000000002;144.18459000000001;145.32551;145.721;146.18978;146.24742;146.41766
IMAGE 3.3;TECH_19;STAN;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.71111168;1.1182785000000002;1.2609759;1.6795173;1.2587281000000001;0.74406656;0.88734285;0.8428361000000001;1.1294556;1.5000771000000002;1.680843;1.6536095000000002;1.6032141000000002;1.4817585000000002;1.3639985000000001;1.2321718000000002;1.1079035000000002;1.1437181;1.1795594;1.1913885000000002;1.2031183;1.2158243;1.228682;1.2349219;1.2412479;1.2330619;1.2247176000000002
IMAGE 3.3;TECH_19;BRA;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.65706515;0.67007053;1.2405821000000001;1.1671302000000001;1.0200702000000001;1.2741793000000001;1.4207628;1.5212942;1.3266254000000002;0.033817952000000005;0.48090938000000005;2.0435475000000003;2.0130327;2.4105789;3.2000901;4.1649108;5.3181742000000005;5.567238700000001;5.8596326;6.0439132;6.219851800000001;6.3330273;6.4281027;6.5107553000000005;6.625221600000001;6.734974;6.721355300000001
IMAGE 3.3;TECH_19;CAN;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.041837488000000006;0.26404253;0.5205342700000001;0.74063206;0.6808167;0.9991913000000001;1.0837592;1.2116365;1.3123694000000001;1.5898548000000001;1.930144;1.7889684000000001;1.656222;1.5577066000000002;1.4589837;1.3544165000000001;1.2493732000000002;1.2807613;1.3120957;1.3334849;1.3544696;1.363007;1.3717381000000002;1.3717097;1.3713559000000002;1.3730701;1.3749261000000002
IMAGE 3.3;TECH_19;RCAM;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.68712742;0.58911258;0.7293472000000001;0.78380998;0.79674752;0.7406521;0.8150609900000001;0.6831577000000001;0.74011347;0.8232628500000001;0.9545865;0.8685250600000001;0.74114842;0.63834086;0.53380509;0.45493731000000004;0.38188035000000004;0.39057654;0.40372870000000005;0.41316317;0.42214435;0.42981366000000004;0.43802;0.44435437000000005;0.45084365000000004;0.45818397000000005;0.46585674000000005
IMAGE 3.3;TECH_19;CHN;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;2.7947023;3.8940626000000003;10.512891000000002;11.955996;18.129910000000002;23.681714000000003;22.36749;27.404616;29.249102;29.177201;18.805398;18.592537;18.499277000000003;17.757743;16.974616;16.151874;15.361270000000001;15.291292;15.233421000000002;15.091609000000002;14.944309;14.715602;14.491934;14.209302000000001;13.929702;13.633280000000001;13.340055000000001
IMAGE 3.3;TECH_19;EAF;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.55333581;0.63579642;0.7090624600000001;0.7597322200000001;0.7849966100000001;0.7793573800000001;0.99471456;0.9278952300000001;2.2598592;2.4094100000000003;3.2806633;3.2056584000000004;3.0410913;2.9442998;2.8032829;2.6046758000000003;2.3368026;2.3976957000000003;2.4936545000000003;2.6047946;2.7297830000000003;2.7625641;2.7735073000000003;2.7853652;2.8341937;2.8955735000000002;2.9423537000000004
IMAGE 3.3;TECH_19;CEU;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;2.9257431;3.9925832000000003;4.2799841;4.4101908000000005;3.2637212;1.7096668000000002;1.8762952000000002;2.0170717000000002;1.9280675;1.7660995000000002;1.6765532;1.6343610000000002;1.5989251000000002;1.5615933000000002;1.5239825;1.4899578;1.4549007;1.4709952000000002;1.4872426;1.4938833;1.5003446;1.5019302;1.5036938000000002;1.50105;1.4983209000000002;1.4940630000000001;1.4897942000000002
