Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Exposure|Land area,km2,7459797.769,7385756.646,7401372.42,7424108.336,7424108.336,7412740.378,7395688.441,7388411.531,7387349.577,7385756.646,7385225.669,7384163.715,7383632.738,7383101.761,7382570.784,7382570.784,7382039.807
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Exposure|Land area|%,%,24.16519061,23.92534258,23.97592815,24.04957864,24.04957864,24.01275339,23.95751553,23.93394278,23.9305027,23.92534258,23.92362253,23.92018245,23.91846241,23.91674237,23.91502233,23.91502233,23.91330229
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Exposure|Population,people,85333167.12,84605276.25,93074193.77,101845015.6,110319411.4,118396638.4,126372496.2,133359472.1,140475009.6,146056745.9,151742902.3,155928458.3,160169321.5,163087816.1,166005249.4,167656244.9,169246290.2
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Exposure|Population|%,%,6.364109963,5.605511533,5.526136206,5.458395672,5.373055307,5.295173479,5.21434438,5.144586242,5.080682697,5.020206234,4.963705242,4.91665779,4.871556667,4.841805746,4.812109317,4.796059681,4.778289252
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Hazard|Absolute,days/yr,164.4253752,164.8823794,164.7973819,164.808299,164.808299,164.8028404,164.7946526,164.8258443,164.8484584,164.8823794,164.8936864,164.9163004,164.9276074,164.9389145,164.9502215,164.9502215,164.9615285
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Hazard|Absolute|Land area weighted,days/yr,162.1656095,162.651682,162.5626945,162.5697436,162.5697436,162.5662191,162.5609323,162.593862,162.61699,162.651682,162.6632461,162.6863741,162.6979381,162.7095021,162.7210661,162.7210661,162.7326301
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Hazard|Absolute|Population weighted,days/yr,115.7367766,116.1918015,116.0173843,115.9920039,115.9949772,116.0658949,116.1465921,116.2487082,116.3350334,116.4462535,116.5407675,116.6735823,116.7978073,116.9497745,117.102006,117.2506735,117.4089945
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Hazard|Difference,%,-0.646813576,-0.397963294,-0.395460016,-0.373581484,-0.373581484,-0.38452075,-0.400929649,-0.403235786,-0.401126789,-0.397963294,-0.396908795,-0.394799798,-0.3937453,-0.392690802,-0.391636303,-0.391636303,-0.390581805
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Hazard|Difference|Land area weighted,%,-0.757098651,-0.479674138,-0.481768534,-0.462798839,-0.462798839,-0.472283686,-0.486510957,-0.486911165,-0.484016354,-0.479674138,-0.478226733,-0.475331922,-0.473884516,-0.472437111,-0.470989706,-0.470989706,-0.4695423
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Hazard|Difference|Population weighted,%,-2.203184274,-1.510494103,-1.566171291,-1.634035061,-1.683598071,-1.717707457,-1.744914716,-1.774699904,-1.810653769,-1.840219616,-1.872687135,-1.897327913,-1.92367824,-1.945413473,-1.966958575,-1.987193503,-2.004918525
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Hazard|Risk score,risk score,2.275375486,2.26736033,2.270129008,2.271743008,2.271743008,2.270936008,2.269725508,2.268586379,2.26809596,2.26736033,2.267115121,2.266624701,2.266379491,2.266134282,2.265889072,2.265889072,2.265643862
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Hazard|Risk score|Land area weighted,risk score,2.252380536,2.24516205,2.247757239,2.249259358,2.249259358,2.248508298,2.24738171,2.246314631,2.245853599,2.24516205,2.244931534,2.244470501,2.244239985,2.244009469,2.243778952,2.243778952,2.243548436
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Consecutive dry days|Hazard|Risk score|Population weighted,risk score,1.881726885,1.881385043,1.882071156,1.881913224,1.88113286,1.880758919,1.880318927,1.879786728,1.879613373,1.879584757,1.879962747,1.880576659,1.881382962,1.882510467,1.883647953,1.885005985,1.88621405
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Exposure|Land area,km2,1288059.152,1361719.775,1583314.877,1971259.613,1971259.613,1777287.245,1486328.693,1378983.984,1372078.3,1361719.775,1358266.933,1351361.25,1347908.408,1344455.566,1341002.725,1341002.725,1337549.883
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Exposure|Land area|%,%,4.1725253,4.41114075,5.128973597,6.385677704,6.385677704,5.757325651,4.814797571,4.467066246,4.444696048,4.41114075,4.399955651,4.377585452,4.366400353,4.355215254,4.344030155,4.344030155,4.332845055
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Exposure|Population,people,93365990.37,121195918.5,160249853.2,219590887.2,239146115.9,232687558.9,208466013.8,203389808.2,213086163.9,219473733.8,228039224.7,233183568,239456208.4,243451283.7,247457565.1,250221966.5,251883246.2
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Exposure|Population|%,%,6.963194377,8.022420377,9.51458702,11.76215365,11.64749966,10.40241774,8.601662703,7.843876599,7.706873909,7.541821956,7.459455948,7.351503828,7.283070674,7.227173489,7.173224093,7.157863272,7.111358284
