model,scenario,region,variable,unit,year,value,data_source
Macro_Economy,Current Trend,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,13.144329896907216,geo
Macro_Economy,Current Trend,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,17.339667458432302,geo
Macro_Economy,Current Trend,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,21.316964285714285,geo
Macro_Economy,Current Trend,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,25.56149732620321,geo
AIM/CGE 2.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.147735052934962,ar6
AIM/CGE 2.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,16.35865083195803,ar6
AIM/CGE 2.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,18.518272974822896,ar6
AIM/CGE 2.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,20.5844339865965,ar6
AIM/CGE 2.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,22.70480855361811,ar6
AIM/CGE 2.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,24.89926149045171,ar6
AIM/CGE 2.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.157879436788356,ar6
AIM/CGE 2.1,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.060041921379936,ar6
AIM/CGE 2.1,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,16.205894840899553,ar6
AIM/CGE 2.1,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,18.294441775411563,ar6
AIM/CGE 2.1,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,20.281189165033886,ar6
AIM/CGE 2.1,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,22.308861242968344,ar6
AIM/CGE 2.1,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,24.395699595333504,ar6
AIM/CGE 2.1,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,26.523746807999213,ar6
GCAM 5.3,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.70447095001087,ar6
GCAM 5.3,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,16.412579444308378,ar6
GCAM 5.3,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,18.404238314089483,ar6
GCAM 5.3,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,20.303510622282083,ar6
GCAM 5.3,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,22.246890081345704,ar6
GCAM 5.3,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,24.246831073826296,ar6
